99	170	545
64	267	291
96	251	534
87	173	362
77	131	636
169	230	478
15	58	301
455	601	638
132	226	574
344	512	586
6	54	213
362	388	484
445	454	521
167	419	531
116	303	505
117	182	382
212	291	292
41	152	188
7	41	317
92	301	324
129	290	324
152	188	657
9	399	535
135	165	614
140	169	585
196	231	401
4	89	499
73	176	185
171	514	657
170	187	545
41	188	589
89	464	651
163	235	403
58	404	486
73	185	208
223	376	561
446	455	632
114	189	523
99	134	330
132	226	334
91	94	379
114	419	523
25	212	250
273	318	419
233	291	292
41	367	402
317	367	651
29	362	484
176	188	367
66	99	488
367	618	657
176	181	449
135	561	614
111	245	281
176	182	449
153	434	523
165	376	529
168	283	299
218	523	531
197	517	553
234	255	407
187	190	485
79	212	292
126	298	396
105	124	226
274	440	557
111	245	455
378	437	569
7	41	402
140	230	575
239	394	634
145	534	548
38	145	478
68	145	254
177	459	508
15	187	330
162	279	356
177	459	470
179	414	591
79	233	357
157	453	473
15	99	170
50	168	312
1	459	534
74	291	292
60	141	506
233	482	581
30	58	92
254	451	573
168	352	573
253	641	652
15	58	361
87	245	362
195	537	571
215	614	617
273	416	523
96	271	444
143	226	624
57	102	166
240	502	513
196	231	502
152	618	657
187	332	404
148	371	485
265	489	506
306	359	412
169	175	342
234	415	498
388	446	632
138	148	301
25	105	226
122	430	515
91	135	370
25	372	533
327	405	646
117	162	279
91	264	389
42	54	393
552	573	630
18	198	296
31	380	492
142	444	632
54	213	393
128	431	655
114	153	500
57	63	473
157	195	607
264	389	561
14	293	403
37	68	292
99	170	190
103	222	472
54	258	393
143	427	666
64	267	482
129	148	324
215	223	370
30	187	397
295	537	571
167	248	531
196	220	231
6	213	383
158	184	301
115	168	312
52	106	355
191	378	437
234	255	604
167	216	273
116	454	521
109	528	546
189	216	500
444	632	638
58	361	426
554	578	580
117	208	279
264	405	614
157	295	473
116	258	393
34	283	312
240	502	608
23	89	464
256	483	656
231	240	401
146	187	488
149	334	533
58	68	170
189	434	500
58	134	330
165	389	617
159	227	451
187	330	545
84	104	426
14	403	487
235	293	403
114	167	189
87	484	638
49	279	449
71	77	245
57	453	571
52	68	254
340	504	517
168	312	472
99	146	291
39	118	573
60	151	458
157	295	527
177	178	340
183	311	417
196	357	482
357	538	565
264	561	614
34	299	472
99	148	240
201	470	517
440	455	557
